id,current_stock_quantity,units,avg_lead_time_days,maximum_lead_time_days,unit_price
1990AA,2167.5,Kg,60,79,545.845
1992AA,2714.5,Kg,60,92,586.3916
1993AA,21334.0,Kg,60,94,83.75125
1994AA,4317.0,Kg,60,91,450.53667
1995AA,913.5,Kg,120,160,100.57182
2013AA,3371.0,Kg,120,189,143.8402
2016CA,2520.5,Kg,60,86,267.32395
2021CA,7873.0,Kg,60,86,295.27467
2025AA,2727.0,Kg,60,80,442.805
2039CA,1252.0,Kg,120,164,449.75
2041CA,1256.0,Kg,60,82,648.42
2044CA,1711.0,Kg,120,166,740.82
2053BA,115.0,Kg,60,89,1212.86889
2054AA,131.0,Kg,120,191,751.83
2054CA,219.0,Kg,120,174,904.0
2060AA,396.0,Kg,120,175,1101.15
2066AA,327.0,Kg,120,187,1550.95
2078CA,338.0,Kg,60,93,1129.24
2096AA,172.0,Kg,120,163,30.0
2096BA,138.0,Kg,60,84,1524.57667
2115CA,68.0,Kg,60,88,1912.27
2117BA,372.0,Kg,120,168,2424.0
2139BA,354.0,Kg,120,176,2032.85
2142CA,343.0,Kg,60,91,2956.0
2143AA,196.0,Kg,120,192,30.0
2170BA,372.0,Kg,120,171,305.19
2173CA,340.0,Kg,60,92,444.94
2189CA,641.0,Kg,60,95,299.805
2200CA,70.9999999999999,Kg,60,89,448.0
2212AA,118.0,Kg,120,180,747.405
2212CA,88.0,Kg,60,87,884.36
2220BA,107.0,Kg,120,183,752.0
2223AA,150.0,Kg,60,93,918.7
2227AA,160.0,Kg,60,80,751.635
2229AA,48.0,Kg,120,192,1054.24333
2229CA,107.0,Kg,60,80,751.0
2234AA,142.0,Kg,60,83,903.0
2236CA,109.0,Kg,120,159,1617.335
2255CA,49.0,Kg,60,88,1712.565
2265BA,61.0,Kg,120,184,1691.46333
2267CA,107.0,Kg,60,91,1896.44
2277AA,10253.0,Kg,120,158,6.37172
2291AA,2510.0,Kg,120,191,18.75596
2293AA,509.0,Kg,60,79,12.73097
2315BA,734.0,Kg,120,182,14.9222
2317CA,3420.0,Kg,60,89,37.26672
2326CA,6083.67,Kg,30,46,63.5592
2331CA,227.0,Kg,60,83,210.12419
2336BA,7565.0,Kg,30,44,7.92068
2337CA,32086.0,Kg,60,83,1.72706
